JobTitel,CompanyName,Skills
Node JS Developer,SATA Group -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · node · Node.js · Software Development
Node JS Developer,Refd App -,Full TimeShift BasedWork From HomeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software · Information Technology (IT) · Node.js · Full Stack Development · Git · JavaScript · Software Engineering
Senior SW Backend Engineer | Node.JS,Fatura  -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MongoDP · NodeJS · JavaScript · AWS · RESTful APIs · Microsoft Azure · NoSQL Database · SQL
Senior Node JS Developer,LINK Development -,Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Node JS · PHP · javaScript · HTML · MySQL · OOP · Angular · Maintenance
Tech Lead Developer (Mobile Application and Node JS),Talent 360 -,Full TimeExperienced · 8+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Js · Mobile · tech · Computer Science · Information Technology (IT) · Software Development · Business Development · Node.js
Node Js Backend Developer,Dafa -,Full TimeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Node.js · Information Technology (IT) · Node Js · Software Development · Web Development · Programming · Computer Science · JavaScript
Node JS Developer,Premier Services and Recruitment -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · developer · Information Technology (IT) · JavaScript · Js · node · Node Js · Software Development
Node JS Developer,Confidential -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Node.js · node · MEAN Stack · Software Development · Engineering · Information Technology (IT) · Telecom Engineering · API
Senior Node JS Developer,Tech SquAd -,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Node.js · MongoDB · Software Development · JavaScript · APIs · Git · Express.js · Typescript
Backend Developer - Node-js,MAWAD -,Part TimeFreelance / ProjectWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Software Development · Software · Programming · Software Engineering · Information Technology (IT) · JavaScript · Git
Node JS Developer,SSC Egypt -,Full TimeWork From HomeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · MongoDB · JavaScript · Node.js · CSS3 · HTML5 · front-end · Software Development · SQL
Senior Backend Developer / Nodejs,Infinity Business Solutions -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Node.js · Js · Software Development · Computer Science · Engineering · Web Services · Information Technology (IT)
Node JS Developer,Trufla -,Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Design · Git · Information Technology (IT) · JavaScript
Full Stack Developer Node / React,GetTechForce.com -,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ReactJS · JavaScript · backend · Computer Science · Design · Agile · front-end · Full-Stack
PHP/Wordpress Developer,Union Coop -,Freelance / ProjectExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · PHP · Software Development · CSS3 · HTML5 · JavaScript · jQuery
Senior PHP / Laravel Developer,webSTDY -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · AJAX · javaScript · Web Development · MySQL · PHP · Laravel · OOP
Junior PHP Developer,intrazero -,Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Laravel · PHP · Javascript · Jquery · OOP · Agile
Senior PHP Developer (Laravel With MongoDB & MySQL),Media Pan arab -,Full TimeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Javascript · Laravel · Cross Platform Mobile Applications · Web Developer · Information Technology (IT) · Computer Science · Software Development
PHP Developer,LINK Development -,Full TimeWork From HomeEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Linux · PHP · SQL · OOP · Symphony · Laravel · WordPress · Drupal
PHP-Laravel Developer,DevartLab -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Laravel · Software Development · Computer Science · CSS · Information Technology (IT) · HTML · JavaScript · OOP
Senior.PHP Laravel Developer - Saudi Arabia,Alexandria For Programming -,Full TimeExperienced · 3 - 14 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · APIs · Computer Science · English · Frameworks · Information Technology (IT) · Laravel
PHP Developer,Longman Egypt -,Full TimeExperienced · 2+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · PHP · JavaScript · jQuery · AJAX
Technical Lead (PHP),Confidential -,Full TimeManager · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Mobile Development · Software Development · Android SDK · Android Studio · Computer Science · Information Technology (IT) · Engineering
Senior Full Stack Developer (PHP),Confidential -,Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Laravel · PHP · Software Development · jQuery · Vue.js · Git
PHP Symfony Backend Developer - Remote,Smart Solutions Egypt -,Full TimeWork From HomeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Backend developer · Symfony · PHP · MongoDB · Agile · Information Technology (IT) · Software Development · Telecom Engineering
Senior PHP Developer,Confidential -,Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · CSS · HTML5 · Software Engineering · JavaScript · MySQL · Information Technology (IT) · HTML
PHP Web Developer (Codeigniter Framework),Confidential -,Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Web Development · PHP · Software Development · Computer Science · HTML · CSS · javaScript
Backend Developer (PHP - Laravel),Dafa -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · back-end · Computer Science · Information Technology (IT) · MySQL · PHP · Programming · Software Development · Web Development
Software Developer (PHP/Laravel),Confidential -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Laravel · OOP · PHP · MySQL · API Development · Vue.js · React.js · Telecom Engineering
Mid Level Android Developer,Arab Apps -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Android SDK · Android Development · RESTful APIs · Computer Science · APIs · Information Technology (IT) · Mobile Development
Senior Android Developer,Arab Apps -,Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · Android · RESTful · Java · Mobile Development · Kotlin · Design · JSON
Android Developer,Fawry Banking & Payment Technology Services -,Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Computer Science · Android · ITI · RESTful · MVC · Git
Senior Android Developer,LINK Development -,Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android SDK · Software Development · SOAP · REST · JSON · Information Technology (IT) · Kotlin · XML
Senior Android Developer,Expert Apps -,Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Android · back-end · APIs · computer · Computer Science · Information Technology (IT) · Offline storage
Android Developer,Quantum Promoting Network -,Full TimeSenior Management · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Computer Science · Development · Kotlin · Software Development · Java
Senior Android Developer,Afaqy -,Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · Mobile Applications · Mobile App · API · Software Development · Software · IOT · Information Technology (IT)
Senior Android Developer,Luftborn -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Computer Science · Android · Android Development · Android Programming · Kotlin · MVVM
Android Developer,Premier Services and Recruitment -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · android developer · Computer Science · Information Technology (IT) · Software Development · developer · XML · SQL
Mobile Development Team Leader ( iOS / Android ),Expert Apps -,Full TimeExperienced · 6+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Engineering · English · Information Technology (IT) · Management · iOS
Android Developer,sahan -,Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Android · Software Development
Senior Android Developer,Wireless Dynamics -,Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · APIs · Computer Science · Design · Information Technology (IT) · Java · Mobile Development · Software Development
Senior Android Developer (Remotely),The Group -,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Crashlytics · JavaScript & JQuery · HTML5 · Computer Engineering · Computer Science · Software Development · Software Engineering · Android
Android Development Engineer,Confidential -,Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Programming · Software Development · Computer Science · Linux · Agile · Android · Git · Java
Android Developer,citPEAK -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Android · API · Computer Science · Information Technology (IT) · Java · React · Software Development · SQLite
Senior Front End Developer - React,Trufla -,Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Angular · APIs · Bootstrap · Computer Science · Design · Git · Information Technology (IT)
React Native Developer,qpix -,Full TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React Native · Engineering · Software Development · GraphQl · GIT · RestAPI · Information Technology (IT) · English
React Senior Front End Developer,LINK Development -,Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-End · Computer Science · Information Technology (IT) · CSS3 · Angular · Software Development · HTML5 · javaScript
Full Stack Lead React.js & Node.js,Infinity Business Solutions -,Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Node.js · React.js · React js · Information Technology (IT) · HTML5 · JavaScript · React · Engineering
React Native Developer,Confidential -,Full TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · React Native · Information Technology (IT) · Mobile Development · APIs · CSS3 · HTML · JavaScript
React Native Mobile Application Developer,Arma Non Food -,Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Frameworks · flutter · Development · Software Engineering · React Native · React · Native
Front-end Developer(React),YDS yasar digital services  -,Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · RESTful · Git · Information Technology (IT) · React · RESTful APIs · Software Development · Computer Science
Web Developer (React JS),Malaeb -,Full TimeWork From HomeExperienced · 3 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · React js · React.js · Information Technology (IT) · Problem Solving · Science · Engineering · Software
Senior Software Developer (React.js),CEPRES -,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · React · React.js · Redux · Information Technology (IT) · CSS · HTML · Software Engineering
React JS Developer,Centroidsol -,Full TimeWork From HomeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · CSS · HTML · Information Technology (IT) · Computer Science · JavaScript · OOP · Redux
React Native Developer,Algoriza -,Full TimeWork From HomeExperienced · 3+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Android · APIs · Computer Science · Gradle · Information Technology (IT) · Native · React Native
Senior React Developer,CROCOSOFT -,Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Redux · Git · front-end · JavaScript · React · English · Information Technology (IT) · RESTful
