account_id,user_id
7430214,5651468
20973495,15410111
25158749,19003237
24862491,18738082
25121001,18969344
25160178,19004475
18064369,13130697
6433608,4985852
25143085,18989224
511782,5085211
9553227,7096625
11614971,8508053
2602977,2254835
25159826,19004173
25160170,19004470
20887594,15343811
24917756,18786445
11241323,8245495
24763571,18647657
8381393,6293211
2125982,1888143
24018410,18001056
1755752,1603856
25149813,18995210
3640819,4645889
1728300,1582481
18451994,17709491
21096144,15507082
7426246,5648619
3891699,3221703
25160102,19004408
6121971,5133472
14464335,10448256
25080149,18933007
900328,936643
17171559,12428606
24910814,18780394
23276348,17360435
20062026,14708556
4657720,3772831
25122528,18970677
532785,903578
25159730,19004095
75096,215515
19217523,14041994
25159552,19003942
4858856,3919120
18593950,13550483
25090589,18942269
1049506,1960266
25086194,18938369
17585662,12758446
25160015,19004333
974726,996371
22843103,16989774
18491001,13470615
25144627,18990583
24335124,18273317
14964196,10803013
19520113,14282195
22628736,16806460
22298815,16524396
17359837,12576394
16056792,11588855
247708,522607
241731,512728
21592526,16451496
1784738,1626467
17313754,12540749
22528545,16720988
16248325,11732874
4674657,3785426
20946035,15388872
562086,2057
22449935,16653398
3173057,2681557
24934550,18801290
23060900,17176201
25160133,19004436
10894519,8008979
7755974,5870273
24875057,18749039
25116339,18965323
14006611,10116567
25157432,19002086
14481250,10460424
5790510,4568140
320204,638357
215386,470017
13011548,9404386
25157649,19002276
24234356,18187694
16863032,12193434
6933704,5322411
3240609,2733756
1,1
4805530,3880736
21432886,15788890
16852840,13422020
15178964,10952798
9859660,7303083
2914578,2498079
18729308,13655130
8430533,6735200
20841714,15308339
24783381,18666740
11892265,8702720
20266513,18927812
285751,584610
17048318,12334589
25009211,18868864
4905623,6360938
20836914,15892503
21479867,15827424
14470263,14858609
6940695,5327161
25157977,19002550
25153038,18998156
21535987,15874527
25159964,19004293
25050152,18906159
22421214,16628467
24582268,18487212
1131963,1117848
25139318,18985797
1590393,1473832
2018490,1805204
4751907,3841744
15510,32834
23741495,17759484
25093546,18944960
4569095,3709276
20020111,14675244
21170215,15566700
13240399,9561154
25159280,19003710
16870234,12198876
19632566,14370539
25158261,19002799
11407895,8362859
25160086,19004392
2359945,2066855
347380,681455
25158450,19002963
4478354,19003495
166847,391274
205662,454533
25142692,18988874
11570367,13155654
1762167,1608979
25151738,18996991
3516244,2939594
25149062,18994506
24513439,18427492
76141,218196
25159713,19004080
24354179,18289637
23166525,17266368
25160092,19004398
25159448,19003856
17021144,12313698
3524070,2945671
22300867,16526100
4586633,5565998
8744285,6540215
22293193,16519662
317635,634420
21058660,18763132
6949289,5332430
23757195,17773173
22463164,16664721
4566319,3707242
24813916,18694984
20007535,14665211
20450831,15005636
25128600,18976125
6870792,5281215
9252054,6872245
24464350,18384961
23960091,17950303
22205622,16445585
22867924,17011416
17133471,12399071
104361,279061
7702127,6352735
22275791,16504987
25159765,19004126
22242767,16476957
24150003,18115012
25158931,19003400
15682225,11315866
25135937,18982716
25121857,18970089
23795708,17806573
24049508,18028162
25159957,19004284
22839185,16986503
15778837,11385870
24914814,18783909
1801257,1639556
2754295,2372865
1277077,1232087
14737783,10643257
25159701,19004071
25159998,19004320
11216826,8229154
5662882,4479969
24813916,18694984
16447800,11882030
345667,678722
19617804,14358886
25160008,19004328
21325068,15697573
16281765,11757462
18212096,13254418
18604807,13558695
18162,41360
23687625,17712360
230763,494560
24304961,18247859
13029206,9416110
24575385,18481252
13550885,9775766
10876010,7996402
14163180,10231852
20045258,14695092
19880742,14564813
20272032,14867991
9259022,6876770
25158903,19003371
24755621,18640584
23162616,17263054
62488,185657
24809461,18691080
21224419,15610366
134720,12643522
7919117,5980666
14984079,13018207
23579323,17618559
7828472,5919368
24961164,18825119
1879370,2026098
22087565,16346152
67541,197606
23474369,17527397
21801374,16100168
17951390,13044428
25086972,18939068
24918695,18787266
183966,419705
363278,706919
16348028,16608619
25138398,18984940
1563053,3135317
12180723,8892227
10276949,7583527
249651,525865
24765717,18649577
